scope,feature_group,feature,real_mean,fake_mean,cohen_d_fake_minus_real,absolute_cohen_d
pooled,quantity_only,region_count,76.18656716417911,76.64925373134328,0.007410454652314945,0.007410454652314945
pooled,quantity_only,union_coverage_norm,0.24831556787051237,0.1925631017210306,-0.6597347090452513,0.6597347090452513
pooled,quantity_only,sum_box_area_norm,0.25279151160680347,0.19358580934681965,-0.6792379009052693,0.6792379009052693
pooled,quantity_only,mean_box_area_norm,0.004818150316525096,0.0037081329619463284,-0.38195037401525783,0.38195037401525783
pooled,quantity_only,median_box_area_norm,0.00317537599256731,0.002180990898238883,-0.5448472024404584,0.5448472024404584
pooled,quantity_only,std_box_area_norm,0.005559682543009309,0.004653532165135156,-0.13851281991753617,0.13851281991753617
pooled,quantity_only,mean_box_width_norm,0.1649227207516245,0.1370872410265436,-0.40502629203665896,0.40502629203665896
pooled,quantity_only,mean_box_height_norm,0.02977189351757769,0.02490371405614005,-0.40751211491520695,0.40751211491520695
pooled,quantity_only,mean_confidence,0.8712231378129023,0.8875270146902674,0.5393230835977902,0.5393230835977902
pooled,quantity_only,low_confidence_fraction,0.07162204992652293,0.04314798417880361,-0.36949910811458203,0.36949910811458203
pooled,arrangement_only,center_x_mean,0.47612370339010696,0.4894367747236152,0.15998461744669049,0.15998461744669049
pooled,arrangement_only,center_x_std,0.24133121914236705,0.24899520868207403,0.16271550767567475,0.16271550767567475
pooled,arrangement_only,center_y_mean,0.5205008247673193,0.5254061355513148,0.06891593317573715,0.06891593317573715
pooled,arrangement_only,center_y_std,0.2369084672375742,0.24081592797576643,0.10174827279499635,0.10174827279499635
pooled,arrangement_only,center_x_span,0.7916253173445896,0.7933320132173176,0.012592104849397129,0.012592104849397129
pooled,arrangement_only,center_y_span,0.8592586345282195,0.8916321944365914,0.3420212497866708,0.3420212497866708
pooled,arrangement_only,nearest_neighbor_mean_norm,0.05697355620854895,0.053179125332464106,-0.1479765294805822,0.1479765294805822
pooled,arrangement_only,nearest_neighbor_median_norm,0.0466429631071515,0.0433797505443866,-0.1444907614646757,0.1444907614646757
pooled,arrangement_only,nearest_neighbor_std_norm,0.034652330414664444,0.030745626873469514,-0.16262622635673282,0.16262622635673282
pooled,arrangement_only,pairwise_distance_mean_norm,0.434716604100172,0.44594805844411994,0.17338884197591634,0.17338884197591634
pooled,arrangement_only,pairwise_distance_std_norm,0.21736013507364071,0.22020394633789453,0.08675443187643996,0.08675443187643996
pooled,arrangement_only,row_alignment_fraction,0.05804289336896203,0.052342162222711736,-0.1974405962682123,0.1974405962682123
pooled,arrangement_only,column_alignment_fraction,0.10409353434064775,0.1024757511377114,-0.033488111458197974,0.033488111458197974
pooled,arrangement_only,angle_mean_abs_deg,4.081688482671949,4.481749560427328,0.080934251331675,0.080934251331675
pooled,arrangement_only,angle_std_deg,12.214930220174068,14.323570262555776,0.18418180800781325,0.18418180800781325
pooled,arrangement_only,rotated_fraction_gt_5deg,0.05981092183107399,0.0643223367479652,0.05451384983877364,0.05451384983877364
pooled,arrangement_only,center_grid_4_0_0,0.044359730519782946,0.03814634918848241,-0.13737925369015758,0.13737925369015758
pooled,arrangement_only,center_grid_4_0_1,0.06531907440053221,0.06234962411611477,-0.06881072648956607,0.06881072648956607
pooled,arrangement_only,center_grid_4_0_2,0.033946676347538084,0.03939310026327821,0.14803049227596055,0.14803049227596055
pooled,arrangement_only,center_grid_4_0_3,0.0280113276667568,0.029745718514253432,0.05232945250089778,0.05232945250089778
pooled,arrangement_only,center_grid_4_1_0,0.07534960768563229,0.07720877677742322,0.03578842874175665,0.03578842874175665
pooled,arrangement_only,center_grid_4_1_1,0.08953182443452586,0.07365922730588513,-0.2508142385929017,0.2508142385929017
pooled,arrangement_only,center_grid_4_1_2,0.06788336122802797,0.0739867972597257,0.09893236506080437,0.09893236506080437
pooled,arrangement_only,center_grid_4_1_3,0.06560328198898242,0.07191747533000244,0.11513220542670037,0.11513220542670037
pooled,arrangement_only,center_grid_4_2_0,0.0787625631703418,0.0774599702939206,-0.02575091803030777,0.02575091803030777
pooled,arrangement_only,center_grid_4_2_1,0.08292332493781542,0.07193329880989141,-0.17497403595950692,0.17497403595950692
pooled,arrangement_only,center_grid_4_2_2,0.07010972995553327,0.06927037255823018,-0.014911725707053127,0.014911725707053127
pooled,arrangement_only,center_grid_4_2_3,0.06876113884506059,0.08247904889907844,0.2472449237334035,0.2472449237334035
pooled,arrangement_only,center_grid_4_3_0,0.06227785038062067,0.04900812811924894,-0.24267708757863918,0.24267708757863918
pooled,arrangement_only,center_grid_4_3_1,0.06748090847570797,0.08431812704113159,0.3091816287917653,0.3091816287917653
pooled,arrangement_only,center_grid_4_3_2,0.05300805314150608,0.052688603792419735,-0.005672856657518212,0.005672856657518212
